entity_id,spec_id
ENTITY#900,www.vology.com//4255
ENTITY#902,www.vology.com//1801
ENTITY#903,www.vology.com//3401
ENTITY#904,www.vology.com//1257
ENTITY#903,www.vology.com//1290
ENTITY#904,www.vology.com//3645
ENTITY#901,www.topendelectronic.co.uk//74
ENTITY#900,www.vology.com//4512
ENTITY#904,www.vology.com//148
ENTITY#901,www.vology.com//4136
ENTITY#900,www.vology.com//2809
ENTITY#901,www.vology.com//3914
ENTITY#904,www.vology.com//2889
ENTITY#901,www.vology.com//1109
ENTITY#903,www.vology.com//73
ENTITY#903,www.vology.com//1843
ENTITY#901,www.vology.com//4080
ENTITY#901,www.vology.com//1883
ENTITY#903,www.vology.com//2934
ENTITY#901,www.vology.com//2150
ENTITY#900,www.vology.com//1390
ENTITY#901,www.vology.com//1812
ENTITY#903,www.ebay.com//15903
ENTITY#902,www.vology.com//2097
ENTITY#901,www.softwarecity.ca//783
ENTITY#903,www.vology.com//2846
ENTITY#903,www.vology.com//3334
ENTITY#900,www.vology.com//3881
ENTITY#903,www.vology.com//2908
ENTITY#902,www.vology.com//4172
ENTITY#903,www.vology.com//1949
ENTITY#900,www.vology.com//2897
ENTITY#903,www.vology.com//4323
ENTITY#903,www.ebay.com//13884
ENTITY#903,www.vology.com//1546
ENTITY#903,www.vology.com//3945
ENTITY#904,www.vology.com//866
ENTITY#903,www.flexshopper.com//208
ENTITY#903,www.vology.com//3065
ENTITY#904,www.softwarecity.ca//768
ENTITY#900,www.vology.com//850
ENTITY#901,www.vology.com//1036
ENTITY#901,www.vology.com//536
ENTITY#903,www.vology.com//3635
ENTITY#901,www.vology.com//3926
ENTITY#905,www.ebay.com//13826
ENTITY#906,www.mygofer.com//135
ENTITY#906,www.staples.com//131
ENTITY#906,www.ebay.com//14686
ENTITY#905,www.ebay.com//16585
ENTITY#906,www.ebay.com//25198
ENTITY#906,www.mygofer.com//113
ENTITY#906,www.ebay.com//4104
ENTITY#906,www.ebay.com//51188
ENTITY#906,www.ebay.com//4877
ENTITY#906,www.ebay.com//17754
ENTITY#906,www.ebay.com//51558
ENTITY#906,www.ebay.com//26127
ENTITY#906,www.ebay.com//17728
ENTITY#906,www.staples.com//117
ENTITY#906,www.mygofer.com//173
ENTITY#906,www.ebay.com//13866
ENTITY#906,www.mygofer.com//7
ENTITY#906,www.mygofer.com//186
ENTITY#906,www.ebay.com//7481
ENTITY#906,www.ebay.com//14175
ENTITY#906,www.ebay.com//15854
ENTITY#906,www.ebay.com//18551
ENTITY#906,www.ebay.com//5503
ENTITY#906,www.ebay.com//2059
ENTITY#906,www.ebay.com//15837
ENTITY#906,www.ebay.com//13859
ENTITY#906,www.ebay.com//16927
ENTITY#906,wallmartphoto.com//674
ENTITY#905,www.ebay.com//5786
ENTITY#906,www.staples.com//120
ENTITY#906,www.ebay.com//15262
ENTITY#906,www.mygofer.com//180
ENTITY#906,www.ebay.com//17320
ENTITY#906,www.ebay.com//51204
ENTITY#906,www.ebay.com//13995
ENTITY#906,www.ebay.com//18215
ENTITY#906,www.ebay.com//49569
ENTITY#906,www.ebay.com//15107
ENTITY#906,www.ebay.com//25404
ENTITY#906,www.ebay.com//7228
ENTITY#906,www.ebay.com//49767
ENTITY#906,www.mygofer.com//114
ENTITY#906,www.ebay.com//15759
ENTITY#906,www.ebay.com//17845
ENTITY#906,www.ebay.com//17114
ENTITY#905,buy.net//514
ENTITY#906,www.ebay.com//25498
ENTITY#906,www.ebay.com//16627
ENTITY#906,www.staples.com//22
ENTITY#905,www.ebay.com//51186
ENTITY#906,www.ebay.com//16960
ENTITY#906,www.ebay.com//6267
ENTITY#905,www.ebay.com//14152
ENTITY#905,www.ebay.com//18422
ENTITY#906,www.ebay.com//14666
ENTITY#906,www.ebay.com//14129
ENTITY#906,www.ebay.com//50255
ENTITY#905,www.ebay.com//8840
ENTITY#905,www.ebay.com//17268
ENTITY#905,www.ebay.com//13980
ENTITY#906,www.overstock.com//673
ENTITY#906,www.ebay.com//25369
ENTITY#905,www.ebay.com//49452
ENTITY#906,www.ebay.com//16594
ENTITY#906,www.ebay.com//16712
ENTITY#906,www.ebay.com//50376
ENTITY#906,www.ebay.com//14489
ENTITY#906,www.ebay.com//52279
ENTITY#905,www.ebay.com//14158
ENTITY#906,www.ebay.com//6854
ENTITY#905,www.ebay.com//14477
ENTITY#906,www.staples.com//50
ENTITY#906,www.mygofer.com//335
ENTITY#906,www.ebay.com//14430
ENTITY#906,www.ebay.com//17441
ENTITY#906,www.ebay.com//7173
ENTITY#906,www.overstock.com//726
ENTITY#906,www.ebay.com//25287
ENTITY#906,www.ebay.com//15186
ENTITY#906,www.ebay.com//25385
ENTITY#906,www.mygofer.com//341
ENTITY#906,www.ebay.com//16872
ENTITY#906,www.ebay.com//13799
ENTITY#906,www.ebay.com//17278
ENTITY#905,www.ebay.com//5746
ENTITY#906,www.ebay.com//17215
ENTITY#906,www.ebay.com//17069
ENTITY#906,www.ebay.com//13935
ENTITY#906,www.mygofer.com//206
ENTITY#906,www.ebay.com//17949
ENTITY#905,www.ebay.com//17926
ENTITY#906,www.ebay.com//17004
ENTITY#906,www.ebay.com//26141
ENTITY#906,www.ebay.com//18023
ENTITY#906,www.ebay.com//16641
ENTITY#906,www.ebay.com//50024
ENTITY#906,www.ebay.com//15966
ENTITY#905,www.ebay.com//50062
ENTITY#906,www.mygofer.com//105
ENTITY#906,www.ebay.com//16791
ENTITY#906,www.ebay.com//51799
ENTITY#905,www.ebay.com//3372
ENTITY#906,www.ebay.com//26143
ENTITY#906,www.ebay.com//18513
ENTITY#906,www.ebay.com//17673
ENTITY#906,www.ebay.com//51191
ENTITY#906,www.ebay.com//16504
ENTITY#114,www.ebay.com//52405
ENTITY#114,www.ebay.com//17287
ENTITY#114,www.ebay.com//17642
ENTITY#114,www.ebay.com//3066
ENTITY#114,www.ebay.com//6682
ENTITY#114,www.ebay.com//49639
ENTITY#114,www.ebay.com//18033
ENTITY#114,www.ebay.com//51820
ENTITY#210,www.ebay.com//4166
ENTITY#210,livehotdeals.com//1072
ENTITY#210,ni.traetelo.com//5905
ENTITY#210,www.ebay.com//49652
ENTITY#210,www.ebay.com//49564
ENTITY#210,www.gosale.com//78
ENTITY#210,www.amazon.com//520
ENTITY#210,www.amazon.com//1939
ENTITY#210,www.ebay.com//8641
ENTITY#211,www.isupplyhub.com//138
ENTITY#211,www.ebay.com//6954
ENTITY#211,www.amazon.com//646
ENTITY#213,livehotdeals.com//1017
ENTITY#213,www.amazon.com//1396
ENTITY#214,www.ebay.com//8898
ENTITY#214,www.ebay.com//26213
ENTITY#217,www.ebay.com//51962
ENTITY#217,www.gosale.com//152
